country,country_code,year,health_exp,life_expect,maternal_mortality,infant_mortality,neonatal_mortality,under_5_mortality,prev_hiv,inci_tuberc,prev_undernourishment
Aruba,ABW,1999,,73.561,,,,,,,
Africa Eastern and Southern,AFE,1999,,51.25887438,,88.28564237,38.43384141,142.506373,6.684792958,,
Afghanistan,AFG,1999,,54.846,,94.6,64,135.8,0.1,,
Africa Western and Central,AFW,1999,,49.72642912,,101.5413734,44.73355382,173.9431513,,,
Angola,AGO,1999,,45.386,,123.5,51,208,1.3,,
Albania,ALB,1999,,75.183,,25.2,12.2,28.5,0.1,,
Andorra,AND,1999,,,,6.8,3.7,8,,,
Arab World,ARB,1999,,66.71675822,,45.11923959,26.04929881,61.69157896,0.104299847,,
United Arab Emirates,ARE,1999,,73.67,,8.5,6,10.9,0.1,,
Argentina,ARG,1999,,73.722,,17.9,11.1,20.1,0.3,,
Armenia,ARM,1999,,70.257,,28.2,16.7,32.1,0.1,,
American Samoa,ASM,1999,,,,,,,,,
Antigua and Barbuda,ATG,1999,,74.347,,12.4,10.1,15.2,,,
Australia,AUS,1999,,78.93170732,,5.2,3.5,6.3,0.1,,
Austria,AUT,1999,,77.87560976,,4.7,3.1,5.6,,,
Azerbaijan,AZE,1999,,64.189,,64.7,35.9,79.6,0.1,,
Burundi,BDI,1999,,47.528,,97,37.6,158.8,3.6,,
Belgium,BEL,1999,,77.6195122,,5.1,3.1,6.1,0.1,,
Benin,BEN,1999,,56.526,,86.5,39.6,139.5,1.6,,
Burkina Faso,BFA,1999,,50.325,,91.9,41.2,181.7,2,,
Bangladesh,BGD,1999,,66.228,,66.4,46.3,91.2,0.1,,
Bulgaria,BGR,1999,,71.41219512,,14.9,8.1,18.3,0.1,,
Bahrain,BHR,1999,,74.98,,11.3,5.2,13.1,,,
"Bahamas, The",BHS,1999,,71.771,,13.8,7.6,16.2,1.9,,
Bosnia and Herzegovina,BIH,1999,,75.076,,9.1,7.1,10.4,,,
Belarus,BLR,1999,,67.90731707,,10.7,6.3,13.7,0.1,,
Belize,BLZ,1999,,68.773,,21.4,12.4,25.3,1,,
Bermuda,BMU,1999,,79.053,,,,,,,
Bolivia,BOL,1999,,61.871,,58.8,30.6,80.2,0.3,,
Brazil,BRA,1999,,69.524,,32.2,20,37,0.3,,
Barbados,BRB,1999,,74.039,,13.2,8.9,14.6,0.9,,
Brunei Darussalam,BRN,1999,,73.863,,8.6,4.9,10.7,,,
